drug,dose,admin,gene,time,method,brain,muscle,colon,caecum,intestines,stomach,liver,kidney,lungs,spleen,heart,ovary,uterus,breast,testes,gall,fat.neck,fat.organ,epododumis,thymus,lymph,penis,brain.Cu
Palomid 529,54,IV,WT,1,HPLC,1,,,,,,,,,,,,,,,,,,,,,,
Palomid 529,54,IV,TKO,4,HPLC,14.5030749,,,,,,,,,,,,,,,,,,,,,,
Palomid 529,54,IV,WT,4,HPLC,1,,,,,,,,,,,,,,,,,,,,,,
PD0166285,5,IV,abcb1a -/-,1,LC-MS,6.110169492,,,,,,,,,,,,,,,,,,,,,,
PD0166285,5,IV,abcg2 -/-,1,LC-MS,0.855932203,,,,,,,,,,,,,,,,,,,,,,
PD0166285,5,IV,TKO,1,LC-MS,5.228813559,,,,,,,,,,,,,,,,,,,,,,
PD0166285,5,IV,WT,1,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
PD0325901,5,IV,abcb1a -/-,1,LC-MS,2.275000002,,,,,,,,,,,,,,,,,,,,,,
PD0325901,5,IV,abcg2 -/-,1,LC-MS,0.972222224,,,,,,,,,,,,,,,,,,,,,,
PD0325901,5,IV,TKO,1,LC-MS,2.06818182,,,,,,,,,,,,,,,,,,,,,,
PD0325901,5,IV,WT,1,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
PF-407288,5,SQ,abcb1a -/-,0.5,LC-MS,2,,,,,,,,,,,,,,,,,,,,,,
PF-407288,5,SQ,abcg2 -/-,0.5,LC-MS,2,,,,,,,,,,,,,,,,,,,,,,
PF-407288,5,SQ,TKO,0.5,LC-MS,3,,,,,,,,,,,,,,,,,,,,,,
PF-407288,5,SQ,WT,0.5,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
PF-407289,5,SQ,abcb1a -/-,2,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
PF-407289,5,SQ,abcg2 -/-,2,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
PF-407289,5,SQ,TKO,2,LC-MS,1.5,,,,,,,,,,,,,,,,,,,,,,
PF-407289,5,SQ,WT,2,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Pimasertib,5,IV,abcb1a -/-,1,LC-MS,2.933333335,,,,,,,,,,,,,,,,,,,,,,
Pimasertib,5,IV,abcg2 -/-,1,LC-MS,1.037142857,,,,,,,,,,,,,,,,,,,,,,
Pimasertib,5,IV,TKO,1,LC-MS,4.033333335,,,,,,,,,,,,,,,,,,,,,,
Pimasertib,5,IV,WT,1,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Ponatinib,10,PO,abcb1a -/-,2,LC-MS,2.084926786,,,,,,0.920009301,,,,,,,,,,,,,,,,
Ponatinib,10,PO,abcg2 -/-,2,LC-MS,1.519379845,,,,,,0.800023253,,,,,,,,,,,,,,,,
Ponatinib,10,PO,TKO,2,LC-MS,16.60424162,,,,,,0.863969306,,,,,,,,,,,,,,,,
Ponatinib,10,PO,WT,2,LC-MS,1,,,,,,1,,,,,,,,,,,,,,,,
Ponatinib,10,PO,abcb1a -/-,24,LC-MS,1.460869565,,,,,,0.609630897,,,,,,,,,,,,,,,,
Ponatinib,10,PO,abcg2 -/-,24,LC-MS,1.339130435,,,,,,0.729283794,,,,,,,,,,,,,,,,
Ponatinib,10,PO,TKO,24,LC-MS,15.90869565,,,,,,0.794793449,,,,,,,,,,,,,,,,
Ponatinib,10,PO,WT,24,LC-MS,1,,,,,,1,,,,,,,,,,,,,,,,
Pralsetinib,10,PO,abcb1a -/-,2,LC-MS,6.25,,,,0.465116279,,0.970588235,,,,,,,,4.5,,,,,,,,
Pralsetinib,10,PO,abcg2 -/-,2,LC-MS,1.8,,,,1.11627907,,1.205882353,,,,,,,,1.183333333,,,,,,,,
Pralsetinib,10,PO,TKO,2,LC-MS,23,,,,0.511627907,,1.117647059,,,,,,,,7.833333333,,,,,,,,
Pralsetinib,10,PO,WT,2,LC-MS,1,,,,1,,1,,,,,,,,1,,,,,,,,
Pralsetinib,10,PO,WT,8,LC-MS,1,,,,1,,1,,,,,,,,,,,,,,,,
Prazosin,5,SQ,abcb1a -/-,0.5,LC-MS,1.352941176,,,,,,,,,,,,,,,,,,,,,,
Prazosin,5,SQ,abcg2 -/-,0.5,LC-MS,1.823529412,,,,,,,,,,,,,,,,,,,,,,
Prazosin,5,SQ,TKO,0.5,LC-MS,6.117647059,,,,,,,,,,,,,,,,,,,,,,
Prazosin,5,SQ,WT,0.5,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Prazosin,5,SQ,abcb1a -/-,2,LC-MS,1.757575758,,,,,,,,,,,,,,,,,,,,,,
Prazosin,5,SQ,abcg2 -/-,2,LC-MS,1.121212121,,,,,,,,,,,,,,,,,,,,,,
Prazosin,5,SQ,TKO,2,LC-MS,5.242424242,,,,,,,,,,,,,,,,,,,,,,
Prazosin,5,SQ,WT,2,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Quizartinib,10,PO,abcb1a -/-,8,LC-MS,6.5,,,,,,1.263969171,,,,,,,,,,,,,,,,
Quizartinib,10,PO,abcg2 -/-,8,LC-MS,1.625,,,,,,1.098265896,,,,,,,,,,,,,,,,
Quizartinib,10,PO,TKO,8,LC-MS,13.75,,,,,,0.955684008,,,,,,,,,,,,,,,,
Quizartinib,10,PO,WT,8,LC-MS,1,,,,,,1,,,,,,,,,,,,,,,,
Regorafenib,10,PO,abcb1a -/-,2,LC-MS,0.806557377,,,,,,,,,,,,,,4.199160168,,,,,,,,
Regorafenib,10,PO,abcg2 -/-,2,LC-MS,7.032786885,,,,,,,,,,,,,,6.973605279,,,,,,,,
Regorafenib,10,PO,TKO,2,LC-MS,7.086885246,,,,,,,,,,,,,,6.298740252,,,,,,,,
Regorafenib,10,PO,WT,2,LC-MS,1,,,,,,,,,,,,,,1,,,,,,,,
Regorafenib,10,PO,abcb1a -/-,24,LC-MS,1.364221364,,,,,,,,,,,,,,,,,,,,,,
Regorafenib,10,PO,abcg2 -/-,24,LC-MS,3.324324324,,,,,,,,,,,,,,,,,,,,,,
Regorafenib,10,PO,TKO,24,LC-MS,8.025740026,,,,,,,,,,,,,,,,,,,,,,
Regorafenib,10,PO,WT,24,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Repotrectinib,10,PO,abcb1a -/-,4,LC-MS,4.133333333,,,,,,0.847619048,,,,,,,,2.416666667,,,,,,,,
Repotrectinib,10,PO,abcg2 -/-,4,LC-MS,0.933333333,,,,,,0.647619048,,,,,,,,0.708333333,,,,,,,,
Repotrectinib,10,PO,TKO,4,LC-MS,14.2,,,,,,0.685714286,,,,,,,,5.625,,,,,,,,
Repotrectinib,10,PO,WT,4,LC-MS,1,,,,,,1,,,,,,,,1,,,,,,,,
Ribociclib,20,PO,TKO,4,LC-MS,35.56891804,,,,,,,,,,,,,,,,,,,,,,
Ribociclib,20,PO,WT,4,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Ribociclib,20,PO,abcb1a -/-,8,LC-MS,57.32586242,,,,,,,,,,,,,,,,,,,,,,
Ribociclib,20,PO,abcg2 -/-,8,LC-MS,1.012128931,,,,,,,,,,,,,,,,,,,,,,
Ribociclib,20,PO,TKO,8,LC-MS,71.62454385,,,,,,,,,,,,,,,,,,,,,,
Ribociclib,20,PO,WT,8,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Ribociclib,20,PO,TKO,24,LC-MS,405.6250816,,,,,,,,,,,,,,,,,,,,,,
Ribociclib,20,PO,WT,24,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Rucaparib,10,PO,abcb1a -/-,1,LC-MS,2.218623065,,,,,,,,,,,,,,,,,,,,,,
Rucaparib,10,PO,abcg2 -/-,1,LC-MS,2.140581046,,,,,,,,,,,,,,,,,,,,,,
Rucaparib,10,PO,TKO,1,LC-MS,36.7074843,,,,,,,,,,,,,,,,,,,,,,
Rucaparib,10,PO,WT,1,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Rucaparib,10,PO,abcb1a -/-,24,LC-MS,4.259912077,,,,,,,,,,,,,,,,,,,,,,
Rucaparib,10,PO,abcg2 -/-,24,LC-MS,1.416137854,,,,,,,,,,,,,,,,,,,,,,
Rucaparib,10,PO,TKO,24,LC-MS,19.64958675,,,,,,,,,,,,,,,,,,,,,,
Rucaparib,10,PO,WT,24,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Selitrectinib,10,PO,abcb1a -/-,1,LC-MS,2,,,,,,1.025,,,,,,,,1.735632184,,,,,,,,
Selitrectinib,10,PO,abcg2 -/-,1,LC-MS,0.833333333,,,,,,1.75,,,,,,,,1,,,,,,,,
Selitrectinib,10,PO,TKO,1,LC-MS,5.8,,,,,,1.75,,,,,,,,3.873563218,,,,,,,,
Selitrectinib,10,PO,WT,1,LC-MS,1,,,,,,1,,,,,,,,1,,,,,,,,
Selumetinib,5,IV,abcb1a -/-,1,LC-MS,3.04347825,,,,,,,,,,,,,,,,,,,,,,
Selumetinib,5,IV,abcg2 -/-,1,LC-MS,0.9090909,,,,,,,,,,,,,,,,,,,,,,
Selumetinib,5,IV,TKO,1,LC-MS,2.4137931,,,,,,,,,,,,,,,,,,,,,,
Selumetinib,5,IV,WT,1,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
SN-38,2,IV,abcg2 -/-,1,HPLC,0.134292566,,,,,,,,,,,,,,,,,,,,,,
SN-38,2,IV,TKO,1,HPLC,0.182254197,,,,,,,,,,,,,,,,,,,,,,
SN-38,2,IV,WT,1,HPLC,1,,,,,,,,,,,,,,,,,,,,,,
Sorafenib,5,IV,TKO,1,LC-MS,3.999999994,,,,,,,,,,,,,,,,,,,,,,
Sorafenib,5,IV,WT,1,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Sorafenib,10,PO,abcb1a -/-,6,LC-MS,0.944029844,,,,,,,,,,,,,,,,,,,,,,
Sorafenib,10,PO,abcg2 -/-,6,LC-MS,4.049295843,,,,,,,,,,,,,,,,,,,,,,
Sorafenib,10,PO,TKO,6,LC-MS,9.966666847,,,,,,,,,,,,,,,,,,,,,,
Sorafenib,10,PO,WT,6,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Sunitinib,1.4,SQ - cont.,abcb1a -/-,48,LC-MS,4.57407415,,,,,,,,,,,,,,,,,,,,,,
Sunitinib,1.4,SQ - cont.,abcg2 -/-,48,LC-MS,1.000000002,,,,,,,,,,,,,,,,,,,,,,
Sunitinib,1.4,SQ - cont.,TKO,48,LC-MS,36.21367535,,,,,,,,,,,,,,,,,,,,,,
Sunitinib,1.4,SQ - cont.,WT,48,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Sunitinib,20,PO,abcb1a -/-,,LC-MS,3.047619052,,,,,,,,,,,,,,,,,,,,,,
Sunitinib,20,PO,abcg2 -/-,,LC-MS,2.188033969,,,,,,,,,,,,,,,,,,,,,,
Sunitinib,20,PO,TKO,,LC-MS,32.36275303,,,,,,,,,,,,,,,,,,,,,,
Sunitinib,20,PO,WT,,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Tamoxifen,50,PO,abcb1a -/-,1,LC-MS,1.296296296,,,,,,,,,,,,,,,,,,,,,,
Tamoxifen,50,PO,WT,1,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Tamoxifen,50,PO,abcb1a -/-,4,LC-MS,1.555555556,,,,,,,,,,,,,,,,,,,,,,
Tamoxifen,50,PO,WT,4,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Temozolomide,50,IV,abcb1a -/-,7,LC-MS,1.272209616,,,,,,,,,,,,,,,,,,,,,,
Temozolomide,50,IV,abcg2 -/-,7,LC-MS,1.26366266,,,,,,,,,,,,,,,,,,,,,,
Temozolomide,50,IV,TKO,7,LC-MS,1.573310093,,,,,,,,,,,,,,,,,,,,,,
Temozolomide,50,IV,WT,7,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Tivozanib,1,PO,abcb1a -/-,8,LC-MS,2.214285714,,,,,,1.084507042,,,,,,,,,,,,,,,,
Tivozanib,1,PO,abcg2 -/-,8,LC-MS,1.071428571,,,,,,0.863849765,,,,,,,,,,,,,,,,
Tivozanib,1,PO,TKO,8,LC-MS,2.642857143,,,,,,0.774647887,,,,,,,,,,,,,,,,
Tivozanib,1,PO,WT,8,LC-MS,1,,,,,,1,,,,,,,,,,,,,,,,
Topotecan,2,IV,abcg2 -/-,1,HPLC,0.486486486,,,,,,,,,,,,,,,,,,,,,,
Topotecan,2,IV,TKO,1,HPLC,1.594594595,,,,,,,,,,,,,,,,,,,,,,
Topotecan,2,IV,WT,1,HPLC,1,,,,,,,,,,,,,,,,,,,,,,
Topotecan,2,IV,abcg2 -/-,4,HPLC,0.414201183,,,,,,,,,,,,,,,,,,,,,,
Topotecan,2,IV,TKO,4,HPLC,5.899408284,,,,,,,,,,,,,,,,,,,,,,
Topotecan,2,IV,WT,4,HPLC,1,,,,,,,,,,,,,,,,,,,,,,
Topotecan,5,IV,abcb1a -/-,24,HPLC,2.033143939,,,,,,1.090325189,0.915200872,0.883251886,0.989833656,1.057999905,,,,,,,,,,,,
Topotecan,5,IV,abcg2 -/-,24,HPLC,0.67695289,,,,,,0.896487234,0.271938265,0.970375269,0.555544813,1.032888111,,,,,,,,,,,,
Topotecan,5,IV,TKO,24,HPLC,3.229675949,,,,,,0.818658194,0.32520814,0.960018462,0.939995118,0.968966324,,,,,,,,,,,,
Topotecan,5,IV,WT,24,HPLC,1,,,,,,1,1,1,1,1,,,,,,,,,,,,
Trametinib,5,IV,abcb1a -/-,1,LC-MS,12.5,,,,,,,,,,,,,,,,,,,,,,
Trametinib,5,IV,abcg2 -/-,1,LC-MS,0.666666667,,,,,,,,,,,,,,,,,,,,,,
Trametinib,5,IV,TKO,1,LC-MS,19.44444443,,,,,,,,,,,,,,,,,,,,,,
Trametinib,5,IV,WT,1,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Trametinib,5,IV,abcb1a -/-,4,LC-MS,22.22222222,,,,,,,,,,,,,,,,,,,,,,
Trametinib,5,IV,abcg2 -/-,4,LC-MS,1.666666667,,,,,,,,,,,,,,,,,,,,,,
Trametinib,5,IV,TKO,4,LC-MS,16.66666667,,,,,,,,,,,,,,,,,,,,,,
Trametinib,5,IV,WT,4,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Trametinib,5,IV,abcb1a -/-,8,LC-MS,16.0416668,,,,,,,,,,,,,,,,,,,,,,
Trametinib,5,IV,abcg2 -/-,8,LC-MS,7.291666727,,,,,,,,,,,,,,,,,,,,,,
Trametinib,5,IV,TKO,8,LC-MS,23.86363656,,,,,,,,,,,,,,,,,,,,,,
Trametinib,5,IV,WT,8,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Trametinib,5,IV,abcb1a -/-,16,LC-MS,3.333333333,,,,,,,,,,,,,,,,,,,,,,
Trametinib,5,IV,abcg2 -/-,16,LC-MS,1.984126983,,,,,,,,,,,,,,,,,,,,,,
Trametinib,5,IV,TKO,16,LC-MS,2.777777778,,,,,,,,,,,,,,,,,,,,,,
Trametinib,5,IV,WT,16,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Trametinib,5,IV,abcb1a -/-,24,LC-MS,3.333333333,,,,,,,,,,,,,,,,,,,,,,
Trametinib,5,IV,abcg2 -/-,24,LC-MS,0.875,,,,,,,,,,,,,,,,,,,,,,
Trametinib,5,IV,TKO,24,LC-MS,6.818181818,,,,,,,,,,,,,,,,,,,,,,
Trametinib,5,IV,WT,24,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Trimipramine,10,SC,abcb1a -/-,1,HPLC,0.717567451,,,,,,0.986199056,1.004413652,,1.024528645,,,,,,,,,,,,,
Trimipramine,10,SC,WT,1,HPLC,1,,,,,,1,1,,1,,,,,,,,,,,,,
Veliparib,10,IV,abcb1a -/-,4,HPLC,3.144135686,,,,,,,,,,,,,,,,,,,,,,
Veliparib,10,IV,abcg2 -/-,4,HPLC,0.87989414,,,,,,,,,,,,,,,,,,,,,,
Veliparib,10,IV,TKO,4,HPLC,3.705484846,,,,,,,,,,,,,,,,,,,,,,
Veliparib,10,PO,TKO,4,HPLC,6.382608809,,,,,,,,,,,,,,,,,,,,,,
Veliparib,10,IV,WT,4,HPLC,1,,,,,,,,,,,,,,,,,,,,,,
Veliparib,10,PO,WT,4,HPLC,1,,,,,,,,,,,,,,,,,,,,,,
Vemurafenib,2.5,IV,TKO,0,LC-MS,7.142857143,,,,,,,,,,,,,,,,,,,,,,
Vemurafenib,2.5,IV,WT,0,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Vemurafenib,25,PO,abcb1a -/-,1,LC-MS,1.2,,,,,,,,,,,,,,,,,,,,,,
Vemurafenib,25,PO,abcg2 -/-,1,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Vemurafenib,2.5,IV,TKO,1,LC-MS,100.0900901,,,,,,,,,,,,,,,,,,,,,,
Vemurafenib,25,PO,TKO,1,LC-MS,32,,,,,,,,,,,,,,,,,,,,,,
Vemurafenib,25,PO,WT,1,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Vemurafenib,2.5,IV,WT,1,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Vemurafenib,2.5,IV,TKO,2,LC-MS,36,,,,,,,,,,,,,,,,,,,,,,
Vemurafenib,2.5,IV,WT,2,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Vemurafenib,2.5,IV,TKO,3.5,LC-MS,200,,,,,,,,,,,,,,,,,,,,,,
Vemurafenib,2.5,IV,WT,3.5,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Vemurafenib,25,PO,abcb1a -/-,4,LC-MS,3,,,,,,,,,,,,,,,,,,,,,,
Vemurafenib,25,PO,abcg2 -/-,4,LC-MS,2,,,,,,,,,,,,,,,,,,,,,,
Vemurafenib,25,PO,TKO,4,LC-MS,50,,,,,,,,,,,,,,,,,,,,,,
Vemurafenib,25,PO,WT,4,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Vemurafenib,2.5,IV,TKO,6,LC-MS,249.6891386,,,,,,,,,,,,,,,,,,,,,,
Vemurafenib,2.5,IV,WT,6,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Vemurafenib,2.5,IV,TKO,9,LC-MS,60,,,,,,,,,,,,,,,,,,,,,,
Vemurafenib,2.5,IV,WT,9,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Vemurafenib,1200,IV,abcb1a -/-,48,LC-MS,3.75,,,,,,,,,,,,,,,,,,,,,,
Vemurafenib,1200,IV,abcg2 -/-,48,LC-MS,1.6,,,,,,,,,,,,,,,,,,,,,,
Vemurafenib,1200,IV,TKO,48,LC-MS,100,,,,,,,,,,,,,,,,,,,,,,
Vemurafenib,1200,IV,WT,48,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Vinblastine,1,IV,abcb1a -/-,4,Radio-Labeled,11.19999796,3.363636364,1.037383178,0.514223195,1.464467005,0.8640625,1.22173913,1.167919799,1.023210832,0.823059361,1.7109375,,,,1.230769231,0.68128655,0.753521127,0.414772727,0.510729614,0.674050633,0.629441625,,
Vinblastine,1,IV,WT,4,Radio-Labeled,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
